co_entidade,no_entidade,sg_uf,co_uf,no_municipio,co_municipio,tp_dependencia,tp_localizacao,in_regular,in_eja,in_profissionalizante,tp_itinerario_formativo,in_itinerario_tecn_prof,in_escolarizacao,qt_doc_bas,qt_doc_bas_docente,qt_doc_bas_vinculo_concur,qt_doc_bas_vinculo_contra,qt_doc_bas_vinculo_terceir,qt_doc_bas_vinculo_clt,qt_doc_prof,qt_doc_prof_tec,qt_doc_prof_nao_tec,qt_doc_med_iftp_ct,qt_doc_med_iftp_qp,qt_doc_bas_disc_profissiona,qt_doc_bas_disc_outras,qt_doc_bas_instrutor_ep,qt_tur_bas,qt_tur_med,qt_tur_prof,qt_tur_prof_tec,qt_tur_prof_nao_tec,qt_tur_med_iftp_ct,qt_tur_med_iftp_qp,qt_tur_bas_disc_profissiona,doc_publicos_principais,perc_temporarios,perc_efetivos,doc_ept,tur_ept,peso_ept_docente,escola_ept,faixa_precarizacao
43010628,ESC EST ED BAS DOM ERICO FERRARI,RS,43,Agudo,4300109,2,2,1,0,1,1,0,1,14,14,5,9,0,0,4,4,0,0,0,4,7,0,6,3,1,1,0,0,0,1,14,0.6428571428571429,0.35714285714285715,4,1,0.2857142857142857,1,50% a 75%
43011195,COL ESTADUAL COM SOARES DE BARROS,RS,43,Ajuricaba,4300208,2,1,1,0,1,1,1,1,20,20,6,14,0,0,16,0,16,0,16,0,14,0,10,8,2,0,2,0,2,0,20,0.7,0.3,16,2,0.8,1,50% a 75%
43011721,COL ESTADUAL EMILIO ZUNEDA,RS,43,Alegrete,4300406,2,1,1,1,1,1,1,1,57,57,27,30,0,0,33,33,0,26,0,15,24,0,55,20,19,19,0,6,0,13,57,0.5263157894736842,0.47368421052631576,33,19,0.5789473684210527,1,50% a 75%
43012132,ESC EST ENS MED JOSE BONIFACIO,RS,43,Alegrete,4300406,2,1,1,0,1,1,1,1,25,25,2,23,0,0,11,0,11,0,11,0,18,0,14,6,1,0,1,0,1,0,25,0.92,0.08,11,1,0.44,1,acima de 75%
43012299,ESC EST ENS MED DEMETRIO RIBEIRO,RS,43,Alegrete,4300406,2,1,1,1,1,1,1,1,59,59,21,38,0,0,23,0,23,0,23,0,26,0,57,22,4,0,4,0,4,0,59,0.6440677966101694,0.3559322033898305,23,4,0.3898305084745763,1,50% a 75%
43012469,INST EST EDUC OSWALDO ARANHA,RS,43,Alegrete,4300406,2,1,1,1,1,1,1,1,57,57,23,36,0,0,30,23,16,0,16,0,31,0,40,20,13,11,2,0,2,0,59,0.6101694915254238,0.3898305084745763,39,13,0.6842105263157895,1,50% a 75%
43012582,ESC EST ED BAS DR LAURO DORNELLES,RS,43,Alegrete,4300406,2,1,1,1,1,1,0,1,52,52,26,26,0,0,8,8,0,0,0,8,32,0,36,15,3,3,0,0,0,3,52,0.5,0.5,8,3,0.15384615384615385,1,25% a 50%
43013732,INST EST EDUC JULIO CESAR RIBEIRO DE SOUZA,RS,43,Alvorada,4300604,2,1,1,0,1,1,0,1,59,59,19,40,0,0,27,27,0,0,0,0,30,0,47,25,7,7,0,0,0,0,59,0.6779661016949152,0.3220338983050847,27,7,0.4576271186440678,1,50% a 75%
43013740,ESC EST ENS MED SENADOR SALGADO FILHO,RS,43,Alvorada,4300604,2,1,1,0,1,1,1,1,39,39,2,37,0,0,18,0,18,0,18,0,35,0,23,14,1,0,1,0,1,0,39,0.9487179487179487,0.05128205128205128,18,1,0.46153846153846156,1,acima de 75%
43013899,ESC EST ED BAS PROF GENTIL VIEGAS CARDOSO,RS,43,Alvorada,4300604,2,1,1,1,1,1,0,1,66,66,27,39,0,0,8,8,0,0,0,8,29,0,59,18,5,5,0,0,0,5,66,0.5909090909090909,0.4090909090909091,8,5,0.12121212121212122,1,50% a 75%
43104495,ESC EST ENS MED SAO GABRIEL,RS,43,Ametista do Sul,4300646,2,1,1,0,1,1,1,1,29,29,16,13,0,0,17,0,17,0,17,0,17,0,22,11,2,0,2,0,2,0,29,0.4482758620689655,0.5517241379310345,17,2,0.5862068965517241,1,25% a 50%
43016480,ESC EST ENS MED JOSE DE QUADROS,RS,43,Arroio do Sal,4301057,2,1,1,1,1,1,1,1,27,27,7,20,0,0,14,0,14,0,14,0,18,0,23,15,1,0,1,0,1,0,27,0.7407407407407407,0.25925925925925924,14,1,0.5185185185185185,1,50% a 75%
43171273,ESC EST ENS MED ARROIO DO TIGRE,RS,43,Arroio do Tigre,4301206,2,1,1,0,1,1,0,1,31,31,16,15,0,0,4,4,0,0,0,4,16,0,24,14,1,1,0,0,0,1,31,0.4838709677419355,0.5161290322580645,4,1,0.12903225806451613,1,25% a 50%
43017517,INST EST EDUC AIMONE SOARES CARRICONDE,RS,43,Arroio Grande,4301305,2,1,1,0,1,1,0,1,41,41,16,25,0,0,7,7,0,0,0,7,20,0,32,19,4,4,0,0,0,4,41,0.6097560975609756,0.3902439024390244,7,4,0.17073170731707318,1,50% a 75%
43018211,INST EST EDUC FELIPE ROMAN ROS,RS,43,Arvorezinha,4301404,2,1,1,1,1,1,1,1,43,43,19,25,0,0,24,24,0,15,0,0,15,0,35,15,6,6,0,4,0,0,44,0.5681818181818182,0.4318181818181818,24,6,0.5581395348837209,1,50% a 75%
43019030,ESC EST ENS MED FREI PLACIDO,RS,43,Bagé,4301602,2,1,1,0,1,1,1,1,40,40,14,26,0,0,22,22,0,18,0,8,13,0,24,13,5,5,0,4,0,1,40,0.65,0.35,22,5,0.55,1,50% a 75%
43019153,COL ESTADUAL WALDEMAR AMORETTY MACHADO,RS,43,Bagé,4301602,2,1,1,0,1,1,0,1,36,36,11,25,0,0,9,9,0,0,0,9,15,0,25,13,4,4,0,0,0,4,36,0.6944444444444444,0.3055555555555556,9,4,0.25,1,50% a 75%
43019692,ESC EST ENS MED DR LUIZ MERCIO TEIXEIRA,RS,43,Bagé,4301602,2,1,1,1,1,1,1,1,28,28,8,20,0,0,13,0,13,0,13,0,16,0,16,4,1,0,1,0,1,0,28,0.7142857142857143,0.2857142857142857,13,1,0.4642857142857143,1,50% a 75%
43020089,ESC EST ED BAS PROFESSOR JUSTINO COSTA QUINTANA,RS,43,Bagé,4301602,2,1,1,0,1,1,1,1,67,67,21,46,0,0,33,18,19,0,19,0,23,0,51,19,7,6,1,0,1,0,67,0.6865671641791045,0.31343283582089554,37,7,0.5522388059701493,1,50% a 75%
43020232,ESC EST ENS MED FARROUPILHA,RS,43,Bagé,4301602,2,1,1,1,1,1,1,1,16,16,5,11,0,0,9,0,9,0,9,0,10,0,12,6,1,0,1,0,1,0,16,0.6875,0.3125,9,1,0.5625,1,50% a 75%
43171362,ESC EST ENS MED DR LUIZ MARIA FERRAZ,RS,43,Bagé,4301602,2,1,1,1,1,1,1,1,33,33,8,26,0,0,13,0,13,0,13,0,24,0,23,6,1,0,1,0,1,0,34,0.7647058823529411,0.23529411764705882,13,1,0.3939393939393939,1,acima de 75%
43046126,ESC EST ENS MED DIOGO PENHA,RS,43,Balneário Pinhal,4301636,2,1,1,1,1,1,0,1,29,29,10,19,0,0,11,11,0,0,0,0,17,0,26,23,3,3,0,0,0,0,29,0.6551724137931034,0.3448275862068966,11,3,0.3793103448275862,1,50% a 75%
43020569,INST EST EDUC ASSUNTA FORTINI,RS,43,Barão,4301651,2,1,1,0,1,1,0,1,24,24,7,17,0,0,16,16,0,0,0,0,14,0,21,13,5,5,0,0,0,0,24,0.7083333333333334,0.2916666666666667,16,5,0.6666666666666666,1,50% a 75%
43137296,ESC EST ENS MED JOSE JOAQUIM DE ANDRADE,RS,43,Barão do Triunfo,4301750,2,1,1,0,1,1,1,1,16,16,7,10,0,0,13,0,13,0,13,0,12,0,9,8,2,0,2,0,2,0,17,0.5882352941176471,0.4117647058823529,13,2,0.8125,1,50% a 75%
43022235,INST EST EDUC CASTRO ALVES,RS,43,Barros Cassal,4302006,2,1,1,0,1,1,0,1,33,33,12,21,0,0,14,14,0,0,0,0,15,0,29,14,3,3,0,0,0,0,33,0.6363636363636364,0.36363636363636365,14,3,0.42424242424242425,1,50% a 75%
43023134,INST EST EDUC CECILIA MEIRELES,RS,43,Bento Gonçalves,4302105,2,1,1,0,1,1,0,1,46,46,14,32,0,0,19,19,0,0,0,0,17,0,37,22,6,6,0,0,0,0,46,0.6956521739130435,0.30434782608695654,19,6,0.41304347826086957,1,50% a 75%
43023428,COL ESTADUAL LANDELL DE MOURA,RS,43,Bento Gonçalves,4302105,2,1,1,0,1,1,1,1,19,19,3,16,0,0,13,0,13,0,13,0,14,0,8,4,1,0,1,0,1,0,19,0.8421052631578947,0.15789473684210525,13,1,0.6842105263157895,1,acima de 75%
43024718,COL ESTADUAL FREI GETULIO,RS,43,Bom Jesus,4302303,2,1,1,0,1,1,0,1,33,33,11,22,0,0,15,15,0,0,0,0,18,0,25,15,4,4,0,0,0,0,33,0.6666666666666666,0.3333333333333333,15,4,0.45454545454545453,1,50% a 75%
43169368,ESC TECNICA EST CELEIRO ETEC,RS,43,Bom Progresso,4302378,2,2,1,0,1,1,1,1,19,19,2,17,0,0,19,19,0,19,0,5,4,0,10,7,10,10,0,7,0,2,19,0.8947368421052632,0.10526315789473684,19,10,1,1,acima de 75%
