no_municipio,escolas,media_temporarios,mediana_temporarios,media_doc_ept,media_tur_ept
Bom Progresso,1,0.8947368421052632,0.8947368421052632,19,10
São Sepé,2,0.8799283154121864,0.8799283154121864,9.5,3
Cidreira,1,0.8780487804878049,0.8780487804878049,29,9
Vista Alegre do Prata,1,0.875,0.875,7,1
Taquara,2,0.8726557773744706,0.8726557773744706,50,32.5
Itapuca,1,0.8571428571428571,0.8571428571428571,7,1
Candelária,1,0.8529411764705882,0.8529411764705882,39,8
Independência,1,0.8421052631578947,0.8421052631578947,16,2
Cacequi,1,0.8378378378378378,0.8378378378378378,26,3
Parobé,2,0.8377192982456141,0.8377192982456141,14.5,1
Lagoa Vermelha,2,0.8355654761904762,0.8355654761904762,19.5,6.5
São Jerônimo,1,0.8333333333333334,0.8333333333333334,23,4
Xangri-lá,1,0.8333333333333334,0.8333333333333334,19,2
Caxias do Sul,5,0.8307307692307693,0.8461538461538461,13.2,5
Guaíba,4,0.8269795127353267,0.8178571428571428,19.75,14.75
São Leopoldo,3,0.8207080483503247,0.8536585365853658,28.333333333333332,15.666666666666666
Rio Pardo,3,0.819932079414838,0.825,21.333333333333332,3.6666666666666665
Estância Velha,1,0.8181818181818182,0.8181818181818182,15,1
Novo Hamburgo,5,0.8095306513409962,0.8051724137931034,49.4,25
Portão,1,0.8043478260869565,0.8043478260869565,46,45
Sete de Setembro,1,0.8,0.8,13,1
Montenegro,4,0.7933476985145791,0.7709059233449478,11.75,1.75
Nova Bassano,1,0.7931034482758621,0.7931034482758621,20,5
Ijuí,4,0.7901304970436068,0.7824390243902439,21.5,22.25
Dom Pedrito,4,0.787072535160991,0.8050974512743628,13.5,5.5
Campo Bom,1,0.7857142857142857,0.7857142857142857,14,3
Charqueadas,2,0.7822299651567943,0.7822299651567943,32.5,5.5
Cachoeirinha,4,0.7741233678826221,0.7600114416475973,23,9
Butiá,1,0.7727272727272727,0.7727272727272727,7,3
Bento Gonçalves,2,0.7688787185354691,0.7688787185354691,16,3.5
Lavras do Sul,1,0.7666666666666667,0.7666666666666667,8,3
Redentora,1,0.7666666666666667,0.7666666666666667,5,2
Canoas,8,0.7651989789849205,0.7573529411764706,21.375,6.25
Sapucaia do Sul,4,0.7641826996839424,0.7224830464267084,32.333333333333336,10.333333333333334
Canela,3,0.7625193251327552,0.7758620689655172,14,2.6666666666666665
Tabaí,1,0.7586206896551724,0.7586206896551724,7,6
Guarani das Missões,2,0.7552631578947369,0.7552631578947369,22.5,8
Sapiranga,2,0.7541478129713424,0.7541478129713424,25,4.5
Igrejinha,1,0.75,0.75,17,5
Paraíso do Sul,1,0.75,0.75,13,1
Porto Vera Cruz,1,0.75,0.75,9,1
Esteio,4,0.7442343627065303,0.7773406766325728,27.5,9.75
Nova Prata,1,0.7441860465116279,0.7441860465116279,8,2
Palmeira das Missões,5,0.7427739198470906,0.7317073170731707,14.6,7.6
São Sebastião do Caí,1,0.7419354838709677,0.7419354838709677,16,6
Viamão,6,0.7418432466547156,0.7519222071460878,23,7.833333333333333
Arroio do Sal,1,0.7407407407407407,0.7407407407407407,14,1
Cachoeira do Sul,8,0.7399107583193684,0.7116212338593975,17.375,4.25
Alvorada,3,0.7391977137739849,0.6779661016949152,17.666666666666668,4.333333333333333
São Gabriel,4,0.7380197768762677,0.7885395537525355,14.25,4
Encruzilhada do Sul,2,0.7333333333333334,0.7333333333333334,20.5,8.5
Capivari do Sul,1,0.7333333333333333,0.7333333333333333,19,1
Hulha Negra,1,0.7333333333333333,0.7333333333333333,12,2
São Francisco de Paula,1,0.7333333333333333,0.7333333333333333,16,4
Passo Fundo,7,0.7329094308639593,0.6956521739130435,19.571428571428573,6.571428571428571
Miraguaí,1,0.7297297297297297,0.7297297297297297,37,7
Gravataí,3,0.7294247364453595,0.7209302325581395,11.666666666666666,3
Fortaleza dos Valos,1,0.7272727272727273,0.7272727272727273,13,1
Itaqui,1,0.7272727272727273,0.7272727272727273,16,4
Ponte Preta,1,0.7272727272727273,0.7272727272727273,9,1
Vicente Dutra,1,0.7272727272727273,0.7272727272727273,13,1
Maçambará,2,0.7271364317841079,0.7271364317841079,16,4
Porto Xavier,3,0.7256542256542257,0.8333333333333334,13,2.3333333333333335
Santa Rosa,5,0.7230381225960368,0.72,18.6,6.8
Eldorado do Sul,1,0.7142857142857143,0.7142857142857143,11,3
Pedras Altas,1,0.7142857142857143,0.7142857142857143,7,1
Carazinho,3,0.7117801672640383,0.6888888888888889,24.666666666666668,8
Santo Ângelo,7,0.7113996356829816,0.71875,19.857142857142858,6.571428571428571
Piratini,2,0.7110969387755102,0.7110969387755102,18,2.5
São Borja,3,0.7098765432098766,0.7368421052631579,25,4.666666666666667
Estrela,3,0.7095558762225429,0.8148148148148148,19.666666666666668,12.666666666666666
Lajeado,1,0.7090909090909091,0.7090909090909091,19,4
Barão,1,0.7083333333333334,0.7083333333333334,16,5
Entre-Ijuís,1,0.7058823529411765,0.7058823529411765,24,6
Putinga,1,0.7058823529411765,0.7058823529411765,8,1
Salvador do Sul,1,0.7058823529411765,0.7058823529411765,14,4
Santa Cruz do Sul,4,0.7039228363667842,0.6719761075161772,11,1.75
Venâncio Aires,2,0.7021505376344086,0.7021505376344086,8,2
Carlos Barbosa,1,0.7021276595744681,0.7021276595744681,28,5
Ajuricaba,1,0.7,0.7,16,2
Bagé,6,0.6995838675437007,0.6909722222222222,17.166666666666668,3.1666666666666665
Flores da Cunha,1,0.6976744186046512,0.6976744186046512,14,1
Cruz Alta,3,0.6973481956532804,0.711864406779661,21,6.666666666666667
Tenente Portela,2,0.6946428571428571,0.6946428571428571,36.5,9.5
Campo Novo,1,0.6923076923076923,0.6923076923076923,12,1
Dois Irmãos,1,0.6909090909090909,0.6909090909090909,45,16
Presidente Lucena,1,0.6875,0.6875,10,1
Rosário do Sul,3,0.6865862573099415,0.6666666666666666,12.333333333333334,5
Teutônia,1,0.6857142857142857,0.6857142857142857,27,4
Porto Alegre,25,0.684033714535225,0.6976744186046512,24.52,10.68
Santo Antônio das Missões,2,0.6831932773109244,0.6831932773109244,20,7.5
Taquari,2,0.682608695652174,0.682608695652174,24,9
Giruá,1,0.68,0.68,21,6
Vacaria,3,0.6674979866469228,0.7021276595744681,12.666666666666666,4.666666666666667
Bom Jesus,1,0.6666666666666666,0.6666666666666666,15,4
Capão do Leão,1,0.6666666666666666,0.6666666666666666,26,6
Cotiporã,1,0.6666666666666666,0.6666666666666666,6,1
General Câmara,1,0.6666666666666666,0.6666666666666666,18,4
Marau,1,0.6666666666666666,0.6666666666666666,21,3
Santo Antônio da Patrulha,1,0.6666666666666666,0.6666666666666666,16,6
Selbach,1,0.6666666666666666,0.6666666666666666,15,2
São Francisco de Assis,1,0.6666666666666666,0.6666666666666666,33,6
