co_entidade,no_entidade,no_municipio,co_uf,qt_doc_bas_vinculo_concur,qt_doc_bas_vinculo_contra,doc_publicos_principais,perc_temporarios,doc_ept,tur_ept,qt_doc_bas_disc_profissiona
43105874,ESC EST ED BAS APELES PORTO ALEGRE,Porto Alegre,43,1,29,30,0.9666666666666667,17,2,0
43082246,ESC EST TEC AGR DESIDERIO FINAMOR,Lagoa Vermelha,43,1,20,21,0.9523809523809523,21,12,9
43121772,ESC EST ENS MED NOSSA SENHORA DA ESPERANCA,Santa Cruz do Sul,43,1,19,20,0.95,12,1,0
43013740,ESC EST ENS MED SENADOR SALGADO FILHO,Alvorada,43,2,37,39,0.9487179487179487,18,1,0
43171486,COL ESTADUAL IVO BUHLER CIEP,Montenegro,43,2,36,38,0.9473684210526315,13,1,0
43075169,ESC EST ENS MED EMIL GLITZ,Ijuí,43,2,31,33,0.9393939393939394,15,1,0
43038204,ESC EST ENS MED BARAO DO AMAZONAS,Canoas,43,1,13,14,0.9285714285714286,14,2,0
43012132,ESC EST ENS MED JOSE BONIFACIO,Alegrete,43,2,23,25,0.92,11,1,0
43043623,ESC EST ENS MED PROF APOLINARIO ALVES DOS SANTOS,Caxias do Sul,43,2,23,25,0.92,13,2,0
43146384,ESC EST ENS MED VILA PRADO,Sapucaia do Sul,43,3,31,34,0.9117647058823529,22,5,0
43029116,ESC EST TECNICA NOSSA SENHORA DA CONCEICAO,Cachoeira do Sul,43,3,29,32,0.90625,22,6,10
43002943,E E EDUC PROFIS DE DOM PEDRITO,Dom Pedrito,43,2,19,21,0.9047619047619048,21,13,6
43205186,E E EDUC PROFIS ESTRELA,Estrela,43,2,19,21,0.9047619047619048,21,24,21
43209149,E E EDUC PROFIS DR SOLON TAVARES,Guaíba,43,2,19,21,0.9047619047619048,21,30,21
43206395,E E EDUC PROFIS JOAO DE CESARO,Passo Fundo,43,2,19,21,0.9047619047619048,21,15,21
43139116,ESC TECNICA EST VISCONDE DE SAO LEOPOLDO,São Leopoldo,43,2,19,21,0.9047619047619048,21,10,0
43029930,COL AGRIC EST DANIEL DE OLIVEIRA PAIVA,Cachoeirinha,43,2,18,20,0.9,20,9,9
43038514,ESC EST ENS MED BENTO GONCALVES,Canoas,43,5,44,49,0.8979591836734694,46,29,13
43171575,ESC EST ENS MED WILLIBALDO BERNARDO SAMRSLA CIEP,Taquara,43,4,34,38,0.8947368421052632,13,1,0
43169368,ESC TECNICA EST CELEIRO ETEC,Bom Progresso,43,2,17,19,0.8947368421052632,19,10,5
